Sentence,Sentiment
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",positive
Talentum 's net sales in September were smaller than expected .,neutral
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",neutral
The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .,positive
"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral
Shire proposes $30 bln all-share tie-up with Baxalta,positive
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",negative
It 's not .,neutral
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral
The value of the order is USD 2.2 mn .,neutral
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",neutral
"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",neutral
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive
Registration is required .,neutral
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,neutral
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",positive
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral
"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",negative
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral
Deliveries have started and the network will be ready for a launch soon .,positive
The acquisition price was not disclosed .,neutral
"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn .",neutral
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive
"Long Position on $GOL,...Updating http://stks.co/fdmm",positive
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,positive
The business section also includes Ahlstrom 's sustainability report .,neutral
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive
The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",neutral
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive
Should You Follow Berkshire Hathaway Into Apple Stock?,neutral
"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative
GET MIDNIGHTTRADER IN REALTIME : This report is delayed .,neutral
TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",positive
We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,neutral
Nokia has inaugurated its manufacturing plant near Chennai on 11 Mar 2006 .,neutral
"Risto Raty , Tekla 's executive vice president , said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project .",neutral
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .,neutral
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral
Deliveries by Outotec will take place over 30 months .,neutral
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,positive
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral
$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,positive
The total value of the contract is some EUR 8 million .,neutral
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,positive
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,neutral
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,positive
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",positive
"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative
City CU Welcomes DART Members DALLAS-City CU welcomes the members of DART FCU as they merge with City CU .,neutral
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,negative
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,neutral
Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,neutral
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive
Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive
The handset maker did not disclose any financial details .,neutral
The value of the deal was not disclosed .,neutral
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive
"The total headcount reduction will be 50 persons , the company said .",negative
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .",neutral
"You need to be ready when the window opens up , Rosberg said .",neutral
Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,neutral
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,positive
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
Growth is expected to continue in 2008 .,positive
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral
AstraZeneca profit down as sales of stalwarts fade,negative
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",positive
Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative
- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",neutral
`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive
Technopolis has approximately 130 customer companies in Jyvaskyla .,neutral
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .",neutral
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive
"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",neutral
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral
The company then said it will focus its resources on clinical research .,neutral
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,negative
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive
The restructuring measures will not affect the production of packaging printing material .,neutral
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral
"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",positive
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",neutral
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,neutral
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive
Ponsse will divide its sales and maintenance service network into six geographical areas .,neutral
M2 Communications disclaims all liability for information provided within information on on the world wide web .,neutral
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,neutral
"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .",neutral
"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",neutral
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive
Meggitt share price tumbles as profit falls in 'challenging year',negative
RSA 's shares closed at 156.9 p at the time of going to press .,neutral
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive
This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral
4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral
The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral
The total investment of the project will be approximately EUR 36m .,neutral
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",neutral
Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive
Nordea will coordinate the syndicated loan .,neutral
The order was valued at USD12 .2 m.,neutral
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",negative
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,neutral
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive
Wellness services will be important in the future .,neutral
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral
"In addition to Russia , we now seek additional growth in Ukraine .",positive
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral
Can Christmas Save Sainsbury's plc And Tesco plc?,negative
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",neutral
"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -« HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",neutral
Olvi expects sales and market share to increase in the first quarter of 2010 .,positive
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,neutral
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive
"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase .",neutral
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",negative
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive
"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",neutral
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",neutral
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .",neutral
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,neutral
Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,neutral
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral
what is up with $HK..... from Jan to now it's been a sinking ship...,negative
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",positive
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral
$GNRC finding support at its 10-day line so far.,positive
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive
"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",neutral
Long $GPRO for a brealout trade,positive
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",neutral
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive
The phones are targeted at first time users in growth markets .,neutral
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",negative
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral
$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,negative
Autotank Group is part of Aspo 's Systems Division .,neutral
CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral
These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .,neutral
"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .",positive
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral
Construction is expected to be completed in the summer of 2011 .,neutral
"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",neutral
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral
Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,negative
He wore a black beanie-type cap and a black jacket .,neutral
$TSLA recall,negative
Talvivaara also maintains its assumption of turning cash flow positive before the year end .,positive
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,neutral
Finnish media group Talentum has issued a profit warning .,negative
"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .",neutral
"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''",positive
$ENDP Was looking for a long entry but today's price action wasn't appealing,neutral
The financial details of the transaction were not disclosed .,neutral
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",neutral
"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",neutral
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",positive
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive
The company 's net sales in 2010 totalled MEUR 311.4 with an operating margin of 13.9 per cent .,neutral
"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .",neutral
The maritime administration said the ships had ignored warnings about the icy conditions .,negative
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,neutral
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral
"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",neutral
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",neutral
The total value of these two contracts is over EUR 21 million .,neutral
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,neutral
"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",positive
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",positive
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide .",neutral
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,negative
All are welcome .,neutral
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive
"In January-September 2007 , operating profit totaled EUR 20.5 mn .",neutral
The repurchases shall decrease the distributable capital and reserves .,negative
"On the other hand , Finnish sawmills ' production has decreased even more .",neutral
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",negative
Lloyds to cut 945 jobs as part of three-year restructuring strategy,negative
$CTRP breaking out https://t.co/Z2je3rTKch,positive
$KCG bot at 2.24,positive
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,neutral
The company website is www.ahlstrom.com .,neutral
Look at that $AMZN > 600,positive
Anheuser-Busch InBev Increases Offer for Rival SABMiller,positive
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",neutral
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,negative
Other shareholder entitlements became effective today .,neutral
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",positive
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative
Prices and delivery volumes of broadband products decreased significantly in 2005 .,neutral
Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,neutral
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,neutral
"$INTC & $AAPL strong, tech leads DOW higher",positive
The value of the three-year contract is estimated at EUR40m .,neutral
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",neutral
"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",positive
Glencore slumps 30 percent as debt fears grow,negative
The EPS improved to EUR0 .38 from EUR0 .27 .,positive
"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .",positive
"In this case , the effect would be negative in Finland .",negative
"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .",neutral
"Mr. Mika Korpinen , APAC Vice President for Comptel concludes : `` Comptel is once again demonstrating the importance of providing reliable delivery and enabling time-to-market .",neutral
Standard Chartered Not Raising Capital Yet As Dividend Cut,negative
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive
Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,positive
"Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .",positive
"FDA approves NPS drug, in move validating Shire takeover deal",positive
The recent troubles simply make NETeller cheaper .,neutral
"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",neutral
"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 .",neutral
"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",neutral
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral
"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive
"After completion of the acquisition , Poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .",neutral
The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,neutral
Around 250 of these reductions will be implemented through pension arrangements .,neutral
`` The CHF is a great product .,positive
Net loss in the same period in 2009 was euro18 .6 million .,neutral
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive
"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .",neutral
"With the new arrangement , customer responsibilities will become mainly regional .",neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",neutral
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive
"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",neutral
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive
Poyry is a global expert in consulting and engineering .,neutral
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",neutral
Royal Mail share price edges lower as group raises stamp price,negative
